metric,pearson,spearman
price_oi_funding,-0.06163410818666349,0.08930584731821081
basis,0.04108428421614878,0.012279081482725326
flows,0.12464198544671524,0.1936519942652663
orderbook,0.02210020012535228,0.062151583384794706
cross,0.2141386617305737,0.01129255698753201
calendar,-0.08919519535925528,-0.01933168212921372
sentiment,-0.15888882551944516,-0.06688880895674501
breadth,0.03809230391423459,0.11388562244884232
stables,0.15934975858526157,0.10664761264412331
macro,-0.10434551107586851,0.05663464636388775
news_score,-0.011338359912081174,0.08580737454071274
rr25,0.16894875304876802,0.0910541119180555
iv,-0.2153706589768491,-0.24069148430329879
overall,-0.038601818654965446,0.11561227488350614
