iter	Passed	Remaining
0	0	425
1	0	351
2	1	324
3	1	309
4	1	300
5	2	303
6	2	303
7	3	300
8	3	297
9	3	293
10	4	289
11	4	284
12	4	284
13	5	284
14	5	281
15	5	280
16	6	278
17	6	278
18	6	278
19	7	277
20	7	274
21	7	275
22	8	274
23	8	272
24	8	271
25	9	270
26	9	268
27	9	268
28	10	267
29	10	267
30	10	266
31	11	265
32	11	264
33	11	263
34	12	263
35	12	263
36	12	262
37	13	261
38	13	260
39	13	260
40	14	259
41	14	258
42	14	257
43	14	257
44	15	256
45	15	257
46	16	257
47	16	257
48	16	256
49	17	255
50	17	255
51	17	254
52	17	253
53	18	253
54	18	252
55	18	251
56	19	251
57	19	250
58	19	250
59	20	250
60	20	250
61	20	249
62	21	249
63	21	248
64	21	247
65	22	247
66	22	246
67	22	246
68	23	245
69	23	245
70	23	245
71	24	245
72	24	247
73	25	248
74	25	248
75	26	247
76	26	247
77	26	246
78	26	246
79	27	246
80	27	245
81	27	245
82	28	244
83	28	244
84	29	245
85	29	244
86	29	244
87	30	243
88	30	243
89	30	242
90	31	242
91	31	241
92	31	241
93	32	241
94	32	242
95	33	242
96	33	241
97	33	241
98	34	240
99	34	240
100	34	239
101	35	239
102	35	239
103	35	238
104	36	238
105	36	237
106	36	237
107	36	236
108	37	236
109	37	236
110	37	235
111	38	235
112	38	234
113	38	234
114	39	233
115	39	233
116	39	232
117	40	232
118	40	231
119	40	231
120	41	230
121	41	231
122	41	230
123	42	230
124	42	230
125	42	229
126	43	229
127	43	229
128	43	228
129	44	228
130	44	227
131	44	227
132	45	227
133	45	226
134	45	226
135	46	225
136	46	225
137	46	225
138	47	224
139	47	224
140	47	224
141	48	223
142	48	223
143	48	222
144	49	222
145	49	222
146	49	221
147	50	221
148	50	220
149	50	220
150	51	219
151	51	219
152	51	218
153	52	218
154	52	218
155	52	217
156	53	217
157	53	217
158	53	216
159	54	216
160	54	215
161	54	215
162	55	215
163	55	214
164	55	214
165	55	213
166	56	213
167	56	213
168	56	212
169	57	212
170	57	211
171	57	211
172	58	211
173	58	210
174	58	210
175	59	209
176	59	209
177	59	209
178	60	211
179	61	210
180	61	210
181	61	209
182	62	209
183	62	209
184	62	209
185	63	208
186	63	208
187	63	208
188	64	207
189	64	207
190	64	206
191	65	206
192	65	206
193	65	206
194	66	205
195	66	205
196	66	204
197	67	204
198	67	204
199	67	203
200	68	203
201	68	203
202	69	203
203	69	202
204	69	202
205	70	202
206	70	201
207	70	201
208	71	200
209	71	200
210	71	200
211	72	199
212	72	199
213	72	199
214	73	198
215	73	198
216	73	198
217	74	198
218	74	197
219	74	197
220	75	197
221	75	196
222	75	196
223	76	195
224	76	195
225	76	195
226	77	194
227	77	194
228	77	194
229	78	193
230	78	193
231	78	192
232	79	192
233	79	192
234	79	191
235	80	191
236	80	190
237	80	190
238	81	190
239	81	189
240	81	189
241	81	189
242	82	188
243	82	188
244	82	187
245	83	187
246	83	187
247	83	186
248	84	186
249	84	185
250	84	185
251	85	185
252	85	184
253	85	184
254	86	184
255	86	183
256	86	183
257	87	183
258	87	183
259	88	182
260	88	182
261	88	182
262	89	181
263	89	181
264	89	181
265	90	180
266	90	180
267	90	180
268	91	179
269	91	179
270	91	178
271	91	178
272	92	178
273	92	177
274	92	177
275	93	177
276	93	176
277	93	176
278	94	175
279	94	175
280	94	175
281	95	174
282	95	174
283	95	174
284	96	173
285	96	173
286	96	172
287	97	172
288	97	172
289	97	171
290	98	171
291	98	171
292	98	170
293	99	170
294	99	170
295	99	169
296	100	169
297	100	169
298	100	168
299	100	168
300	101	167
301	101	167
302	101	167
303	102	166
304	102	166
305	102	166
306	103	165
307	103	165
308	103	164
309	104	164
310	104	164
311	104	163
312	105	163
313	105	163
314	105	162
315	106	162
316	106	162
317	106	161
318	107	161
319	107	161
320	107	160
321	108	160
322	108	160
323	108	159
324	108	159
325	109	158
326	109	158
327	109	158
328	110	157
329	110	157
330	110	157
331	111	156
332	111	156
333	111	156
334	112	155
335	112	155
336	112	154
337	113	154
338	113	154
339	113	153
340	114	153
341	114	153
342	114	152
343	115	152
344	115	152
345	115	151
346	115	151
347	116	151
348	116	150
349	116	150
350	117	150
351	117	149
352	118	149
353	118	149
354	118	148
355	119	148
356	119	148
357	119	147
358	120	147
359	120	147
360	120	146
361	121	146
362	121	146
363	121	145
364	122	145
365	122	145
366	122	144
367	123	144
368	123	144
369	123	143
370	124	143
371	124	143
372	124	142
373	125	142
374	125	142
375	125	141
376	126	141
377	126	141
378	126	140
379	127	140
380	127	140
381	127	139
382	127	139
383	128	139
384	128	138
385	128	138
386	129	138
387	129	137
388	130	137
389	130	137
390	130	136
391	131	136
392	131	136
393	131	135
394	132	135
395	132	135
396	132	134
397	133	134
398	133	134
399	133	133
400	134	133
401	134	133
402	134	132
403	134	132
404	135	131
405	135	131
406	135	131
407	136	130
408	136	130
409	136	130
410	137	129
411	137	129
412	137	129
413	138	128
414	138	128
415	138	128
416	139	127
417	139	127
418	139	127
419	140	126
420	140	126
421	140	126
422	141	125
423	141	125
424	141	125
425	142	124
426	142	124
427	142	124
428	143	123
429	143	123
430	143	123
431	144	122
432	144	122
433	145	122
434	145	122
435	145	121
436	146	121
437	146	120
438	146	120
439	146	120
440	147	119
441	147	119
442	147	119
443	148	118
444	148	118
445	148	118
446	149	117
447	149	117
448	149	117
449	150	116
450	150	116
451	150	116
452	151	115
453	151	115
454	151	115
455	152	114
456	152	114
457	153	114
458	153	113
459	153	113
460	154	113
461	154	112
462	154	112
463	155	112
464	155	111
465	155	111
466	155	111
467	156	110
468	156	110
469	156	110
470	157	109
471	157	109
472	158	109
473	158	108
474	158	108
475	158	108
476	159	107
477	159	107
478	159	107
479	160	106
480	160	106
481	160	106
482	161	105
483	161	105
484	161	105
485	162	104
486	162	104
487	162	104
488	163	103
489	163	103
490	163	103
491	164	102
492	164	102
493	164	102
494	165	101
495	165	101
496	165	101
497	166	100
498	166	100
499	166	100
500	167	99
501	167	99
502	167	99
503	168	98
504	168	98
505	168	98
506	169	97
507	169	97
508	169	97
509	170	96
510	170	96
511	170	96
512	171	95
513	171	95
514	171	95
515	172	94
516	172	94
517	172	94
518	173	93
519	173	93
520	173	93
521	174	92
522	174	92
523	174	92
524	175	91
525	175	91
526	175	91
527	176	90
528	176	90
529	177	90
530	177	89
531	177	89
532	178	89
533	178	88
534	178	88
535	179	88
536	179	87
537	179	87
538	179	87
539	180	86
540	180	86
541	180	86
542	181	85
543	181	85
544	181	85
545	182	84
546	182	84
547	182	84
548	183	83
549	183	83
550	184	83
551	184	82
552	184	82
553	185	82
554	185	81
555	185	81
556	185	81
557	186	80
558	186	80
559	186	80
560	187	79
561	187	79
562	187	79
563	188	78
564	188	78
565	188	78
566	189	77
567	189	77
568	189	77
569	190	76
570	190	76
571	190	76
572	191	75
573	191	75
574	191	75
575	192	74
576	192	74
577	192	74
578	193	73
579	193	73
580	193	73
581	194	72
582	194	72
583	194	72
584	195	71
585	195	71
586	195	71
587	196	70
588	196	70
589	197	70
590	197	69
591	197	69
592	198	69
593	198	68
594	198	68
595	198	68
596	199	67
597	199	67
598	199	67
599	200	66
600	200	66
601	200	66
602	201	65
603	201	65
604	201	65
605	202	64
606	202	64
607	202	64
608	203	63
609	203	63
610	203	63
611	204	62
612	204	62
613	204	62
614	205	61
615	205	61
616	205	61
617	206	60
618	206	60
619	206	60
620	207	59
621	207	59
622	207	58
623	207	58
624	208	58
625	208	57
626	208	57
627	209	57
628	209	56
629	209	56
630	210	56
631	210	55
632	210	55
633	211	55
634	211	54
635	211	54
636	212	54
637	212	53
638	212	53
639	213	53
640	213	52
641	213	52
642	214	52
643	214	51
644	214	51
645	215	51
646	215	50
647	215	50
648	216	50
649	216	49
650	216	49
651	217	49
652	217	48
653	217	48
654	218	48
655	218	47
656	218	47
657	219	47
658	219	46
659	219	46
660	220	46
661	220	45
662	220	45
663	221	45
664	221	44
665	221	44
666	222	44
667	222	43
668	222	43
669	223	43
670	223	42
671	223	42
672	223	42
673	224	41
674	224	41
675	224	41
676	225	40
677	225	40
678	225	40
679	226	39
680	226	39
681	226	39
682	227	38
683	227	38
684	227	38
685	228	37
686	228	37
687	228	37
688	229	36
689	229	36
690	229	36
691	230	35
692	230	35
693	230	35
694	231	34
695	231	34
696	231	34
697	232	33
698	232	33
699	232	33
700	233	32
701	233	32
702	233	32
703	233	31
704	234	31
705	234	31
706	235	30
707	235	30
708	235	30
709	236	29
710	236	29
711	236	29
712	237	28
713	237	28
714	237	28
715	238	27
716	238	27
717	238	27
718	239	26
719	239	26
720	239	26
721	240	25
722	240	25
723	240	25
724	241	24
725	241	24
726	241	24
727	241	23
728	242	23
729	242	23
730	242	22
731	243	22
732	243	22
733	243	21
734	244	21
735	244	21
736	244	20
737	245	20
738	245	20
739	245	19
740	246	19
741	246	19
742	246	18
743	247	18
744	247	18
745	247	17
746	248	17
747	248	17
748	248	16
749	249	16
750	249	16
751	249	15
752	250	15
753	250	15
754	250	14
755	251	14
756	251	14
757	252	13
758	252	13
759	252	13
760	253	12
761	253	12
762	253	12
763	254	11
764	254	11
765	254	11
766	255	10
767	255	10
768	255	10
769	256	9
770	256	9
771	256	9
772	257	8
773	257	8
774	257	8
775	258	7
776	258	7
777	258	7
778	259	6
779	259	6
780	259	6
781	260	5
782	260	5
783	260	5
784	261	4
785	261	4
786	261	4
787	262	3
788	262	3
789	262	3
790	263	2
791	263	2
792	263	2
793	264	1
794	264	1
795	264	1
796	265	0
797	265	0
798	265	0
799	266	0
